Country,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,2016   Inflation consumer prices (annual %),Average Inflation 2010 - 2016,Human Development Index (HDI) ,Life expectancy at birth,Expected schooling ,Mean schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,# of Resolved Conflict Peace Agreements,AverageTemp,MedianTemp,RangeTemp,HighTemp,LowTemp
Haiti,136.0000,4.0280,3.8930,4.1630,13.8337,7.6653,0.4930,63.1000,9.1000,5.2000,1657.0000,9.0000,4.0000,27.0316,27.4250,3.3710,28.5770,25.2060
Honduras,104.0000,4.8710,4.7500,4.9920,2.7246,4.8332,0.6250,73.3000,11.2000,6.2000,4466.0000,11.0000,3.0000,25.7323,25.8340,3.7690,27.5040,23.7350
Hong Kong,75.0000,5.4580,5.3620,5.5540,2.3857,3.6815,0.9170,84.2000,15.7000,11.6000,54265.0000,-2.0000,0.0000,23.6904,24.1485,12.2020,28.5200,16.3180
Hungary,91.0000,5.1450,5.0560,5.2340,0.4007,2.3284,0.8360,75.3000,15.6000,12.0000,23394.0000,6.0000,0.0000,12.3015,14.3940,22.8710,22.4920,-0.3790
Iceland,3.0000,7.5010,7.3330,7.6690,1.6947,3.4036,0.9210,82.7000,19.0000,12.2000,37065.0000,20.0000,0.0000,2.9203,1.6750,11.3660,8.8490,-2.5170
India,118.0000,4.4040,4.3510,4.4570,4.9414,8.2240,0.6240,68.3000,11.7000,6.3000,5663.0000,-4.0000,30.0000,25.4133,26.7835,13.8540,31.0140,17.1600
Indonesia,79.0000,5.3140,5.2370,5.3910,3.5258,5.3524,0.6890,69.1000,12.9000,7.9000,10053.0000,-8.0000,22.0000,26.4670,26.5155,1.0320,26.9340,25.9020
Iran,105.0000,4.8130,4.7030,4.9230,8.5697,19.5572,0.7740,75.6000,14.8000,8.8000,16395.0000,-2.0000,0.0000,20.5410,21.2695,23.7900,31.4590,7.6690
Iraq,112.0000,4.5750,4.4460,4.7040,3.3795,3.3795,0.6490,69.6000,10.1000,6.6000,11608.0000,-30.0000,11.0000,24.2405,24.8095,24.9250,35.4940,10.5690
Ireland,19.0000,6.9070,6.8360,6.9780,0.0000,0.5329,0.9230,81.1000,18.6000,12.3000,43798.0000,11.0000,33.0000,9.9748,9.0810,12.8430,17.2990,4.4560
Israel,11.0000,7.2670,7.1990,7.3350,-0.5449,1.2405,0.8990,82.6000,16.0000,12.8000,31215.0000,16.0000,35.0000,21.2224,21.7675,15.6090,28.1550,12.5460
Italy,50.0000,5.9770,5.8980,6.0560,-0.1233,1.2427,0.8870,83.3000,16.3000,10.9000,33573.0000,6.0000,0.0000,14.1650,14.0440,19.1660,23.6510,4.4850
Jamaica,73.0000,5.5100,5.3150,5.7050,2.3494,7.2426,0.7300,75.8000,12.8000,9.6000,8350.0000,16.0000,0.0000,27.1253,27.6030,3.0290,28.3980,25.3690
Japan,53.0000,5.9210,5.8500,5.9920,-0.1167,0.3917,0.9030,83.7000,15.3000,12.5000,37268.0000,10.0000,0.0000,12.9648,12.6790,25.1060,25.6690,0.5630
Jordan,80.0000,5.3030,5.1870,5.4190,-0.7875,2.8220,0.7410,74.2000,13.1000,10.1000,10111.0000,15.0000,4.0000,21.3191,22.1345,18.4600,29.2060,10.7460
Kazakhstan,54.0000,5.9190,5.8370,6.0010,14.5102,7.7556,0.7940,69.6000,15.0000,11.7000,22093.0000,-3.0000,2.0000,8.9373,12.8280,33.5600,22.8160,-10.7440
