Country,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,"2016   Inflation, consumer prices (annual %)",Average Inflation 2010 - 2016,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,# of Resolved Conflict Peace Agreements,AverageTemp,MedianTemp,RangeTemp,HighTemp,LowTemp
Latvia,68,5.56,5.486,5.634,0.134138162,0.926604705,0.83,74.3,16,11.7,"22,589",7,0,7.322375,9.6765,25.305,18.427,-6.878
Lebanon,93,5.129,5.031,5.227,-0.814751744,2.467889514,0.763,79.5,13.3,8.6,"13,312",8,6,19.17825,19.482,16.837,26.956,10.119
Liberia,150,3.622,3.463,3.781,8.833967088,8.090040176,0.427,61.2,9.9,4.4,683,13,30,26.314,26.6455,2.988,27.693,24.705
Libya,67,5.615,5.406,5.824,6.74599962,6.74599962,0.716,71.8,13.4,7.3,"14,303",-25,6,24.314,26.709,17.082,30.553,13.471
Lithuania,60,5.813,5.734,5.892,0.905521554,1.387448294,0.848,73.5,16.5,12.7,"26,006",7,0,7.804,10.337,24.606,18.369,-6.237
Luxembourg,20,6.871,6.804,6.938,0.299166667,1.640694369,0.898,81.9,13.9,12,"62,471",-12,0,9.90025,10.149,20.058,20.422,0.364
Madagascar,148,3.695,3.621,3.769,6.654801865,7.201362198,0.512,65.5,10.3,6.1,"1,320",25,8,22.9595,23.244,6.34,25.874,19.534
Malawi,132,4.156,4.041,4.271,21.70724298,18.70819571,0.476,63.9,10.8,4.4,"1,073",16,0,21.269375,21.126,5.507,23.755,18.248
Malaysia,47,6.005,5.921,6.089,2.127659574,2.291181453,0.789,74.9,13.1,10.1,"24,620",-13,0,26.9735,26.993,1.306,27.614,26.308
Mali,135,4.073,3.988,4.158,-1.800441907,1.330847092,0.442,58.5,8.4,2.3,"2,218",-9,0,29.942,31.107,13.102,34.587,21.485
Malta,30,6.488,6.409,6.567,0.577054664,1.431393728,0.856,80.7,14.6,11.3,"29,500",3,0,19.437375,18.7655,15.155,27.519,12.364
Mauritania,130,4.201,4.127,4.275,1.48600677,3.785325247,0.513,63.2,8.5,4.3,"3,527",-12,0,29.11,30.9495,14.269,34.282,20.013
Mauritius,66,5.648,5.507,5.789,1.023864511,3.192554927,0.781,74.6,15.2,9.1,"17,948",1,0,24.312375,24.4515,5.546,27.014,21.468
Mexico,21,6.778,6.68,6.876,2.821707752,3.577567434,0.762,77,13.3,8.6,"16,383",-9,0,22.21922222,24.113,10.926,26.225,15.299
Moldova,55,5.897,5.823,5.971,6.384098347,6.485094418,0.699,71.7,11.8,11.9,"5,026",31,0,11.9605,15.1555,24.614,22.006,-2.608
Montenegro,88,5.161,5.055,5.267,0.554046135,8.939669594,0.807,76.4,15.1,11.3,"15,410",24,0,12.870375,14.261,21.704,23.035,1.331
Morocco,90,5.151,5.058,5.244,1.635311143,1.24351907,0.647,74.3,12.1,5,"7,195",-4,11,19.30525,18.675,17.047,27.836,10.789
Namibia,113,4.574,4.374,4.774,6.711963782,5.381620659,0.64,65.1,11.7,6.7,"9,770",-18,4,21.265875,20.589,10.529,26.647,16.118
Nepal,107,4.793,4.698,4.888,8.79034332,8.874258275,0.558,70,12.2,4.1,"2,337",19,51,15.95125,18.792,16.747,21.375,4.628
Netherlands,7,7.339,7.284,7.394,0.316666667,1.496002689,0.924,81.7,18.1,11.9,"46,326",8,0,9.8565,9.8185,16.983,18.975,1.992
New Zealand,8,7.334,7.264,7.404,1.082882132,1.606435875,0.915,82,19.2,12.5,"32,870",20,0,11.0885,10.6425,9.16,15.623,6.463
Nicaragua,48,5.992,5.877,6.107,3.519937252,5.917336205,0.645,75.2,11.7,6.5,"4,747",16,8,26.87155556,26.834,2.416,28.101,25.685
Niger,142,3.856,3.781,3.931,0.170799497,0.964744229,0.353,61.9,5.4,1.7,889,1,4,29.231375,30.4165,13.83,34.058,20.228
Nigeria,103,4.875,4.75,5,15.69685447,11.14653568,0.527,53.1,10,6,"5,443",-23,6,28.005875,28.063,5.767,30.902,25.135
Norway,4,7.498,7.421,7.575,3.55,2.0414146,0.949,81.7,17.7,12.7,"67,614",5,0,1.735375,2.282,20.058,11.838,-8.22
Pakistan,92,5.132,5.038,5.226,3.752595854,8.093749818,0.55,66.4,8.1,5.1,"5,031",-10,14,22.320875,25.669,21.01,30.807,9.797
Panama,25,6.701,6.601,6.801,0.746026597,3.228833253,0.788,77.8,13,9.9,"19,470",0,0,27.2175,27.292,1.12,27.671,26.551
Paraguay,70,5.538,5.453,5.623,4.086822806,4.501365805,0.693,73,12.3,8.1,"8,182",3,0,22.81775,22.2185,9.896,28.334,18.438
Peru,64,5.743,5.647,5.839,3.595722243,3.10662944,0.74,74.8,13.4,9,"11,295",6,14,19.97625,20.246,2.327,20.871,18.544
Philippines,82,5.279,5.16,5.398,1.766784452,3.130267543,0.682,68.3,11.7,9.3,"8,395",-7,138,27.41675,27.437,3.093,28.673,25.58
Poland,57,5.835,5.749,5.921,-0.609676201,1.437557255,0.855,77.6,16.4,11.9,"24,117",11,0,9.257875,11.565,22.99,19.584,-3.406
Portugal,94,5.123,5.03,5.216,0.607397075,1.274360206,0.843,81.2,16.6,8.9,"26,104",2,1,15.88925,14.5805,14.372,23.691,9.319
Qatar,36,6.375,6.178,6.572,2.875505832,1.761551246,0.856,78.3,13.4,9.8,"129,916",-32,0,28.57375,29.63,18.285,37.07,18.785
Romania,71,5.528,5.427,5.629,-1.538403049,2.59119894,0.802,74.8,14.7,10.8,"19,428",11,0,11.6455,14.131,23.291,21.607,-1.684
Russia,56,5.856,5.789,5.923,7.049766291,8.217439515,0.804,70.3,15,12,"23,286",1,71,-2.263125,1.6635,41.581,16.051,-25.53
Rwanda,152,3.515,3.444,3.586,5.7254587,4.073308414,0.498,64.7,10.8,3.8,"1,617",14,16,20.103875,20.034,1.959,21.08,19.121
Saudi Arabia,34,6.379,6.287,6.471,3.523510972,3.705375425,0.847,74.4,16.1,9.6,"51,320",-26,2,27.74075,29.0105,18.759,35.706,16.947
Senegal,128,4.219,4.151,4.287,0.834768889,0.950292332,0.494,66.9,9.5,2.8,"2,250",3,2,29.3015,29.928,8.273,32.776,24.503
Serbia,86,5.177,5.083,5.271,1.122313974,5.271674413,0.776,75,14.4,10.8,"12,202",22,193,12.843625,14.8465,22.488,23.077,0.589
Sierra Leone,111,4.635,4.505,4.765,10.88328586,8.250353778,0.42,51.3,9.5,3.3,"1,529",-1,9,26.948,27.1545,3.596,28.674,25.078
